,threading,video,time
210,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.20944966609999938
211,FRAME,./videos/v_SoccerJuggling_g23_c01.avi,0.13377917469999828
212,default,./videos/SOX5yA1l24A.mp4,0.3579896417000043
213,AUTO,./videos/SOX5yA1l24A.mp4,0.23815652440000007
214,SLICE,./videos/SOX5yA1l24A.mp4,0.4547152046000008
215,FRAME,./videos/SOX5yA1l24A.mp4,0.2761763880999979
216,default,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04746316779999802
217,AUTO,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05055742839999766
218,SLICE,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04112834860000021
219,FRAME,./videos/TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.03602267659999825
220,default,./videos/R6llTwEh07w.mp4,0.4484124568000027
221,AUTO,./videos/R6llTwEh07w.mp4,0.2644254465000017
222,SLICE,./videos/R6llTwEh07w.mp4,0.43220997600000144
223,FRAME,./videos/R6llTwEh07w.mp4,0.2534370061000004
224,default,./videos/v_SoccerJuggling_g24_c01.avi,0.1645043709000106
225,AUTO,./videos/v_SoccerJuggling_g24_c01.avi,0.19860172979999788
226,SLICE,./videos/v_SoccerJuggling_g24_c01.avi,0.2302518082000006
227,FRAME,./videos/v_SoccerJuggling_g24_c01.avi,0.20395086429999765
228,default,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07087797780000074
229,AUTO,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06406501569999819
230,SLICE,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07194593209999312
231,FRAME,./videos/SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.06343880309999576
232,default,./videos/WUzgd7C1pWA.mp4,0.5605363549999993
233,AUTO,./videos/WUzgd7C1pWA.mp4,0.3876501239000049
234,SLICE,./videos/WUzgd7C1pWA.mp4,0.5445542950999993
235,FRAME,./videos/WUzgd7C1pWA.mp4,0.39027473260000534
236,default,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09781016340000406
237,AUTO,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08167636639999501
238,SLICE,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.09527266809999446
239,FRAME,./videos/RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.08479404490000206
240,default,./videos/v_SoccerJuggling_g23_c01.avi,0.21726452099999277
241,AUTO,./videos/v_SoccerJuggling_g23_c01.avi,0.19554271849999622
242,SLICE,./videos/v_SoccerJuggling_g23_c01.avi,0.21129287439999872
