,decoder,video,time,num_frames,num_threads,codec
238,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.020136035420000552,5,1,h264
239,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.01345242913812399,5,1,h264
240,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.024342798814177512,10,1,h264
241,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.026007858291268348,10,1,h264
242,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.01686019878834486,10,1,h264
243,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.007527041435241699,1,1,h264
244,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.009697418101131916,1,1,h264
245,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.005404525250196457,1,1,h264
246,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.010279519110918045,5,1,h264
247,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.011954309605062007,5,1,h264
248,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.007214659638702869,5,1,h264
249,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.01393133718520403,10,1,h264
250,tv_newapi,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.014960292540490628,10,1,h264
251,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi.mp4,0.007477760873734951,10,1,h264
252,pyav,R6llTwEh07w.mp4,0.08021510001271963,1,1,h264
253,tv_newapi,R6llTwEh07w.mp4,0.08684205412864685,1,1,h264
254,decord,R6llTwEh07w.mp4,0.03869724739342928,1,1,h264
255,pyav,R6llTwEh07w.mp4,0.08754093982279301,5,1,h264
256,tv_newapi,R6llTwEh07w.mp4,0.09232245944440365,5,1,h264
257,decord,R6llTwEh07w.mp4,0.041607124730944633,5,1,h264
258,pyav,R6llTwEh07w.mp4,0.09568562563508749,10,1,h264
259,tv_newapi,R6llTwEh07w.mp4,0.09965712651610374,10,1,h264
260,decord,R6llTwEh07w.mp4,0.04457868747413159,10,1,h264
261,pyav,v_SoccerJuggling_g24_c01.avi.mp4,0.01584069970995188,1,1,h264
262,tv_newapi,v_SoccerJuggling_g24_c01.avi.mp4,0.02026592679321766,1,1,h264
263,decord,v_SoccerJuggling_g24_c01.avi.mp4,0.006465819105505944,1,1,h264
264,pyav,v_SoccerJuggling_g24_c01.avi.mp4,0.018626487627625466,5,1,h264
265,tv_newapi,v_SoccerJuggling_g24_c01.avi.mp4,0.022261078469455242,5,1,h264
266,decord,v_SoccerJuggling_g24_c01.avi.mp4,0.007461278513073921,5,1,h264
267,pyav,v_SoccerJuggling_g24_c01.avi.mp4,0.022482586838304997,10,1,h264
268,tv_newapi,v_SoccerJuggling_g24_c01.avi.mp4,0.02515119481831789,10,1,h264
269,decord,v_SoccerJuggling_g24_c01.avi.mp4,0.009699571132659911,10,1,h264
270,pyav,SOX5yA1l24A.mp4,0.062059417739510535,1,1,h264
271,tv_newapi,SOX5yA1l24A.mp4,0.06927893869578838,1,1,h264
272,decord,SOX5yA1l24A.mp4,0.03303147163242102,1,1,h264
273,pyav,SOX5yA1l24A.mp4,0.06785356123000383,5,1,h264
274,tv_newapi,SOX5yA1l24A.mp4,0.07407429926097393,5,1,h264
275,decord,SOX5yA1l24A.mp4,0.03579522557556629,5,1,h264
276,pyav,SOX5yA1l24A.mp4,0.07608613707125186,10,1,h264
277,tv_newapi,SOX5yA1l24A.mp4,0.08116958867758513,10,1,h264
278,decord,SOX5yA1l24A.mp4,0.0391986133530736,10,1,h264
279,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.001402505114674568,1,1,h264
280,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.002904627658426762,1,1,h264
281,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.005226019211113453,1,1,h264
282,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.0039007648825645446,5,1,h264
283,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.004805348627269268,5,1,h264
284,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.0074173400178551676,5,1,h264
285,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.008140419982373715,10,1,h264
286,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.008607106655836106,10,1,h264
287,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi.mp4,0.00871205199509859,10,1,h264
288,pyav,v_SoccerJuggling_g23_c01.avi.mp4,0.01642136964946985,1,4,h264
289,tv_newapi,v_SoccerJuggling_g23_c01.avi.mp4,0.015032557584345341,1,4,h264
290,decord,v_SoccerJuggling_g23_c01.avi.mp4,0.01519436240196228,1,4,h264
291,pyav,v_SoccerJuggling_g23_c01.avi.mp4,0.02308005727827549,5,4,h264
292,tv_newapi,v_SoccerJuggling_g23_c01.avi.mp4,0.017108395881950855,5,4,h264
293,decord,v_SoccerJuggling_g23_c01.avi.mp4,0.017307009361684323,5,4,h264
294,pyav,v_SoccerJuggling_g23_c01.avi.mp4,0.02371333297342062,10,4,h264
295,tv_newapi,v_SoccerJuggling_g23_c01.avi.mp4,0.01989712007343769,10,4,h264
296,decord,v_SoccerJuggling_g23_c01.avi.mp4,0.018313565477728843,10,4,h264
297,pyav,WUzgd7C1pWA.mp4,0.03539747074246406,1,4,h264
298,tv_newapi,WUzgd7C1pWA.mp4,0.035079785622656345,1,4,h264
299,decord,WUzgd7C1pWA.mp4,0.047564432770013806,1,4,h264
300,pyav,WUzgd7C1pWA.mp4,0.04742563236504793,5,4,h264
301,tv_newapi,WUzgd7C1pWA.mp4,0.04122905507683754,5,4,h264
302,decord,WUzgd7C1pWA.mp4,0.048880255036056044,5,4,h264
303,pyav,WUzgd7C1pWA.mp4,0.056507347710430623,10,4,h264
304,tv_newapi,WUzgd7C1pWA.mp4,0.041745159588754174,10,4,h264
305,decord,WUzgd7C1pWA.mp4,0.055828329361975196,10,4,h264
306,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.010075645335018635,1,4,h264
307,tv_newapi,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.01126720141619444,1,4,h264
308,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi.mp4,0.012096249684691428,1,4,h264
