,loader,video,time,num_frames,tv
105,tv_vr,WUzgd7C1pWA.mp4,0.2537101182000697,327,0.5.0
106,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.10872628230008559,251,0.5.0
107,tv_vr,v_SoccerJuggling_g24_c01.avi,0.06285115399987262,251,0.5.0
108,tv_pyav,R6llTwEh07w.mp4,0.2936331107001024,303,0.5.0
109,tv_vr,R6llTwEh07w.mp4,0.207751431899851,303,0.5.0
110,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.08594121229998564,240,0.5.0
111,tv_vr,v_SoccerJuggling_g23_c01.avi,0.05847109290007211,240,0.5.0
112,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.039550975299971466,72,0.5.0
113,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.028238007800064226,72,0.5.0
114,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.02342833589991642,48,0.5.0
115,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.016130394699939644,48,0.5.0
116,tv_pyav,SOX5yA1l24A.mp4,0.26618926869996357,332,0.5.0
117,tv_vr,SOX5yA1l24A.mp4,0.18304704519996448,332,0.5.0
118,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.028349471199908292,74,0.5.0
119,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.01793204710011196,74,0.5.0
120,tv_pyav,WUzgd7C1pWA.mp4,0.2778610889999982,327,0.5.0
121,tv_vr,WUzgd7C1pWA.mp4,0.2065462540998851,327,0.5.0
122,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.08197460159990441,251,0.5.0
123,tv_vr,v_SoccerJuggling_g24_c01.avi,0.055312907199913754,251,0.5.0
124,tv_pyav,R6llTwEh07w.mp4,0.27816575819997524,303,0.5.0
125,tv_vr,R6llTwEh07w.mp4,0.20463028480007778,303,0.5.0
126,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.09208683440010645,240,0.5.0
127,tv_vr,v_SoccerJuggling_g23_c01.avi,0.06232933139999659,240,0.5.0
128,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.042162091600039274,72,0.5.0
129,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03016245950002485,72,0.5.0
130,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.025071875199864736,48,0.5.0
131,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.017052754299947993,48,0.5.0
132,tv_pyav,SOX5yA1l24A.mp4,0.2684259880999889,332,0.5.0
133,tv_vr,SOX5yA1l24A.mp4,0.17753457339986198,332,0.5.0
134,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.028802897000059603,74,0.5.0
135,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.01776026380011899,74,0.5.0
136,tv_pyav,WUzgd7C1pWA.mp4,0.2746779818000505,327,0.5.0
137,tv_vr,WUzgd7C1pWA.mp4,0.20371786169998812,327,0.5.0
138,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.08247809569984384,251,0.5.0
139,tv_vr,v_SoccerJuggling_g24_c01.avi,0.05515587650006637,251,0.5.0
140,tv_pyav,R6llTwEh07w.mp4,0.26152727290009353,303,0.5.0
141,tv_vr,R6llTwEh07w.mp4,0.1995610754000154,303,0.5.0
142,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.08375347769997461,240,0.5.0
143,tv_vr,v_SoccerJuggling_g23_c01.avi,0.05665408429995296,240,0.5.0
144,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03913202530002309,72,0.5.0
145,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.02842170799995074,72,0.5.0
146,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0230053688001135,48,0.5.0
147,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01607425100010005,48,0.5.0
148,tv_pyav,SOX5yA1l24A.mp4,0.2443740479000553,332,0.5.0
149,tv_vr,SOX5yA1l24A.mp4,0.172862485099904,332,0.5.0
