,loader,video,time,num_frames
193,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.11153849649708718,72
194,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05831689639599062,72
195,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05542480379808694,48
196,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05756728200358339,48
197,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04084661700180732,48
198,decord_VR_forlooop,SOX5yA1l24A.mp4,0.10442325829644687,332
199,decord_VR_batch,SOX5yA1l24A.mp4,0.09476820540148764,332
200,decord_VL,SOX5yA1l24A.mp4,0.11244287500157953,332
201,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07662027509650216,74
202,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07648619660176337,74
203,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.048126184300053866,74
204,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.10199379230034537,327
205,decord_VR_batch,WUzgd7C1pWA.mp4,0.10025873949634842,327
206,decord_VL,WUzgd7C1pWA.mp4,0.13213991829543376,327
207,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.0612507373036351,251
208,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.05483120369608514,251
209,decord_VL,v_SoccerJuggling_g24_c01.avi,0.13057319470099174,251
210,decord_VR_forlooop,R6llTwEh07w.mp4,0.09598629419924691,303
211,decord_VR_batch,R6llTwEh07w.mp4,0.09226920410292223,303
212,decord_VL,R6llTwEh07w.mp4,0.10293708840035834,303
213,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.05821497550350614,240
214,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.053130556701216844,240
215,decord_VL,v_SoccerJuggling_g23_c01.avi,0.11594917890033685,240
216,decord_VR_forlooop,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10625507539953105,72
217,decord_VR_batch,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10931027740007267,72
218,decord_VL,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.05949218570021912,72
219,decord_VR_forlooop,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0567314564017579,48
220,decord_VR_batch,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05791569430148229,48
221,decord_VL,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.041064667399041355,48
222,decord_VR_forlooop,SOX5yA1l24A.mp4,0.1074735653004609,332
223,decord_VR_batch,SOX5yA1l24A.mp4,0.1119075705006253,332
224,decord_VL,SOX5yA1l24A.mp4,0.11382203450193629,332
225,decord_VR_forlooop,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07720427150488832,74
226,decord_VR_batch,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07784176989807748,74
227,decord_VL,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04850754630169831,74
228,decord_VR_forlooop,WUzgd7C1pWA.mp4,0.10896589889889582,327
229,decord_VR_batch,WUzgd7C1pWA.mp4,0.10129155649919994,327
230,decord_VL,WUzgd7C1pWA.mp4,0.11078437429969198,327
231,decord_VR_forlooop,v_SoccerJuggling_g24_c01.avi,0.061979364702710885,251
232,decord_VR_batch,v_SoccerJuggling_g24_c01.avi,0.056036021595355125,251
233,decord_VL,v_SoccerJuggling_g24_c01.avi,0.12424288070178591,251
234,decord_VR_forlooop,R6llTwEh07w.mp4,0.10082730979775079,303
235,decord_VR_batch,R6llTwEh07w.mp4,0.09275065980036742,303
236,decord_VL,R6llTwEh07w.mp4,0.12052272509899922,303
237,decord_VR_forlooop,v_SoccerJuggling_g23_c01.avi,0.061207973601995036,240
238,decord_VR_batch,v_SoccerJuggling_g23_c01.avi,0.055831092002335936,240
239,decord_VL,v_SoccerJuggling_g23_c01.avi,0.12329092279542238,240
