,loader,video,time
70,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.02934969119960442
71,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07531225740094669
72,CV2,WUzgd7C1pWA.mp4,0.0759107720979955
73,pyav,WUzgd7C1pWA.mp4,0.2624020337010734
74,pyav_notorgb,WUzgd7C1pWA.mp4,0.16474770409986378
75,tv_pyav,WUzgd7C1pWA.mp4,0.31482348190038467
76,tv_vr,WUzgd7C1pWA.mp4,0.2993864017014857
77,decord,WUzgd7C1pWA.mp4,0.10664188749506139
78,CV2,v_SoccerJuggling_g24_c01.avi,0.06489228410064243
79,pyav,v_SoccerJuggling_g24_c01.avi,0.07873725770041347
80,pyav_notorgb,v_SoccerJuggling_g24_c01.avi,0.02931254930444993
81,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.0950604741985444
82,tv_vr,v_SoccerJuggling_g24_c01.avi,0.0958025308966171
83,decord,v_SoccerJuggling_g24_c01.avi,0.06222314030164853
84,CV2,R6llTwEh07w.mp4,0.07556971450103447
85,pyav,R6llTwEh07w.mp4,0.2579187786963303
86,pyav_notorgb,R6llTwEh07w.mp4,0.16034235859988258
87,tv_pyav,R6llTwEh07w.mp4,0.28410999160259964
88,tv_vr,R6llTwEh07w.mp4,0.2928833893034607
89,decord,R6llTwEh07w.mp4,0.0976841718016658
90,CV2,v_SoccerJuggling_g23_c01.avi,0.06066670999862254
91,pyav,v_SoccerJuggling_g23_c01.avi,0.07544713909737766
92,pyav_notorgb,v_SoccerJuggling_g23_c01.avi,0.03099372860160656
93,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.09790986699517816
94,tv_vr,v_SoccerJuggling_g23_c01.avi,0.09610630159731955
95,decord,v_SoccerJuggling_g23_c01.avi,0.06377830370329321
96,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06591779289883562
97,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03580423720413819
98,pyav_notorgb,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.017954507400281726
99,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.04433432969963178
100,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.044181402499089015
101,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10801008249982261
102,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.04639095599995926
103,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.021365766803501173
104,pyav_notorgb,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.009393208095571027
105,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.025926698104012758
106,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.026311897201230748
107,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05535755520104431
108,CV2,SOX5yA1l24A.mp4,0.07597924210131168
109,pyav,SOX5yA1l24A.mp4,0.22405246840207838
110,pyav_notorgb,SOX5yA1l24A.mp4,0.12332794760004617
111,tv_pyav,SOX5yA1l24A.mp4,0.2637554871966131
112,tv_vr,SOX5yA1l24A.mp4,0.27441372580360623
113,decord,SOX5yA1l24A.mp4,0.10793496220139787
114,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.05347228719620034
115,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.02666692600469105
116,pyav_notorgb,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.011179360700771213
117,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.03308059760020114
118,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.033258182695135474
119,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.08084906010190025
120,CV2,WUzgd7C1pWA.mp4,0.07794058749568648
121,pyav,WUzgd7C1pWA.mp4,0.25982918379595504
122,pyav_notorgb,WUzgd7C1pWA.mp4,0.16420028540305792
123,tv_pyav,WUzgd7C1pWA.mp4,0.30741831160266886
124,tv_vr,WUzgd7C1pWA.mp4,0.2883579603978433
125,decord,WUzgd7C1pWA.mp4,0.1102164632990025
126,CV2,v_SoccerJuggling_g24_c01.avi,0.06556468849885277
127,pyav,v_SoccerJuggling_g24_c01.avi,0.08024525319924578
128,pyav_notorgb,v_SoccerJuggling_g24_c01.avi,0.029488539200974627
129,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.09605559540214018
